item_number,description,location,on_hand_qty,safety_stock,reorder_point,unit_cost,uom
SKU-CEM-101,Portland Cement Type I,MY02,1706,344,218,2547.28,TON
SKU-AGG-220,Crushed Aggregate 20mm,IN01,1282,349,493,3853.31,TON
SKU-STL-014,Steel Rebar 12mm,MY02,215,298,221,2511.39,TON
SKU-RM-330,Raw Gypsum,MY01,1129,96,591,422.56,TON
SKU-PL-220,HDPE Pellets,IN01,643,232,386,3747.36,KG
SKU-MT-101,Aluminium Ingot,MY02,437,221,498,2908.14,TON
SKU-EL-440,Circuit Board Assy,SG01,811,354,571,3681.77,EA
SKU-FS-055,Hex Bolt M12,MY01,1894,58,528,1923.55,EA
SKU-CH-012,Industrial Solvent,MY02,561,70,178,3834.3,LTR
SKU-PK-770,Corrugated Carton,MY01,1482,94,127,2887.06,EA
SKU-TX-330,Cotton Fabric Roll,SG01,262,221,542,3536.21,MTR
SKU-RB-201,Rubber Gasket,MY01,1515,237,560,3046.4,EA
SKU-TC-090,Timber Panel,IN01,693,137,186,1413.52,M3
SKU-CP-330,Cast Part 330,MY02,475,65,519,2265.27,EA
SKU-WR-410,Copper Wire 2.5mm,MY02,1511,382,598,1931.16,MTR
SKU-CE-500,Ceramic Tile,MY01,490,274,434,3972.47,M2
