id,supplier_number,name,status,primary_contact_email,country,x_tier,x_sole_source,created_at,updated_at
3000,SUP10000,Selangor Foundry LLC,active,orders@summit.com,IN,tier-3,false,2023-08-28T00:00:00+08:00,2026-07-13T00:00:00+08:00
3001,SUP10001,Apex Machinery Sdn Bhd,active,orders@klang.com,TH,tier-3,false,2023-10-17T00:00:00+08:00,2026-03-26T00:00:00+08:00
3002,SUP10002,Kirana Traders Co.,inactive,orders@harbor.com,TH,tier-1,false,2024-05-14T00:00:00+08:00,2026-06-21T00:00:00+08:00
3003,SUP10003,Harbor Freight GmbH,active,orders@coastal.com,CN,tier-2,false,2024-06-22T00:00:00+08:00,2026-03-28T00:00:00+08:00
3004,SUP10004,Pacific Rim Textiles Sdn Bhd ,active,orders@harbor.com,TH,tier-1,false,2024-03-05T00:00:00+08:00,2026-05-27T00:00:00+08:00
3005,SUP10005,Delta Rubber Industries GmbH,inactive,orders@apex.com,CN,tier-3,false,2025-07-31T00:00:00+08:00,2026-05-29T00:00:00+08:00
3006,SUP10006,Kirana  Traders  LLC,active,orders@northern.com,MY,tier-1,false,2025-01-08T00:00:00+08:00,2026-04-01T00:00:00+08:00
3007,SUP10007,Everbright Plastics Sdn Bhd,active,orders@coastal.com,SG,tier-1,false,2025-11-11T00:00:00+08:00,2026-05-07T00:00:00+08:00
3008,SUP10008,Delta Rubber Industries Pvt Ltd,inactive,orders@straits.com,MY,tier-2,true,2023-11-20T00:00:00+08:00,2026-06-05T00:00:00+08:00
3009,SUP10009,Bharat  Industrial  Supplies  Pte  Ltd,inactive,orders@kirana.com,MY,tier-3,false,2024-12-06T00:00:00+08:00,2026-06-16T00:00:00+08:00
3010,SUP10010,Meridian Components Bhd,active,orders@kirana.com,TH,tier-1,false,2024-06-01T00:00:00+08:00,2026-04-02T00:00:00+08:00
3011,SUP10011,Harbor Freight LLC ,active,orders@pacific.com,IN,tier-1,false,2025-07-09T00:00:00+08:00,2026-07-11T00:00:00+08:00
3012,SUP10012,Summit Steelworks GmbH,active,orders@summit.com,TH,tier-3,false,2023-03-20T00:00:00+08:00,2026-06-19T00:00:00+08:00
3013,SUP10013,Kirana Traders Sdn Bhd Co.,active,orders@northgate.com,IN,tier-2,false,2023-10-18T00:00:00+08:00,2026-04-09T00:00:00+08:00
3014,SUP10014,Apex Digital Pte Ltd,active,orders@delta.com,IN,tier-1,false,2025-10-15T00:00:00+08:00,2026-05-06T00:00:00+08:00
3015,SUP10015,Lumina Retail Co.,active,orders@sunrise.com,TH,tier-1,false,2022-08-23T00:00:00+08:00,2026-06-08T00:00:00+08:00
