notice_id,received_at,channel,supplier_id,item_number,notice_type,message_body
DN-5000,2026-06-27 00:00:00,email,3022,SKU-EL-440,quality_hold,QA hold on inbound SKU-EL-440 pending inspection.
DN-5001,2026-06-27 00:00:00,teams,3042,SKU-PK-770,supplier_delay,Supplier advises 19 day delay on SKU-PK-770.
DN-5002,2026-07-08 00:00:00,teams,3017,SKU-CH-012,port_cutoff_miss,Container for SKU-CH-012 will miss the Friday port cut-off; next sailing in 6 days.
DN-5003,2026-06-26 00:00:00,email,3021,SKU-RB-201,demand_spike,"Demand surge flagged for SKU-RB-201, exceeding safety stock."
DN-5004,25/06/2026,email,3008,SKU-PK-770,port_cutoff_miss,Shipment for SKU-PK-770 will miss the port cut-off on 2026-07-10.
DN-5005,2026-06-29 00:00:00,teams,3015,SKU-TX-330,demand_spike,"Demand surge flagged for SKU-TX-330, exceeding safety stock."
DN-5006,2026-07-04 00:00:00,email,3034,SKU-CEM-101,quality_hold,QA hold on inbound SKU-CEM-101 pending inspection.
DN-5007,2026-06-26 00:00:00,email,3017,SKU-RB-201,supplier_delay,Supplier advises 14 day delay on SKU-RB-201.
DN-5008,2026-06-30 00:00:00,email,3038,SKU-RB-201,demand_spike,"Demand surge flagged for SKU-RB-201, exceeding safety stock."
DN-5009,2026-07-15 00:00:00,email,3018,SKU-FS-055,quality_hold,QA hold on inbound SKU-FS-055 pending inspection.
DN-5010,04/07/2026,email,3047,SKU-PL-220,quality_hold,QA hold on inbound SKU-PL-220 pending inspection.
DN-5011,2026-07-04 00:00:00,email,3008,SKU-STL-014,demand_spike,"Demand surge flagged for SKU-STL-014, exceeding safety stock."
DN-5012,14/07/2026,email,3040,SKU-CP-330,demand_spike,"Demand surge flagged for SKU-CP-330, exceeding safety stock."
DN-5013,2026-07-07 00:00:00,teams,3043,SKU-CH-012,supplier_delay,Supplier advises 19 day delay on SKU-CH-012.
DN-5014,2026-07-08 00:00:00,email,3003,SKU-WR-410,supplier_delay,Supplier advises 16 day delay on SKU-WR-410.
DN-5015,2026-07-07 00:00:00,email,3041,SKU-AGG-220,demand_spike,"Demand surge flagged for SKU-AGG-220, exceeding safety stock."
DN-5016,10/07/2026,email,3018,SKU-PK-770,quality_hold,QA hold on inbound SKU-PK-770 pending inspection.
DN-5017,2026-06-30 00:00:00,teams,3028,SKU-CP-330,supplier_delay,Supplier advises 8 day delay on SKU-CP-330.
DN-5018,25/06/2026,email,3003,SKU-WR-410,port_cutoff_miss,Shipment for SKU-WR-410 will miss the port cut-off on 2026-07-20.
